"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","date"
"PDX",2014,1,1,17,42.08,35.06,75.98,290,5.7539,6.621473042,0,1028.8,0.5,2014-01-01 17:00:00
"PDX",2014,1,1,18,42.08,35.96,78.74,270,4.60312,5.2971784336,0,1028.6,0.5,2014-01-01 18:00:00
"PDX",2014,1,1,19,42.08,33.98,72.78,290,3.45234,3.9728838252,0,1028.1,0.5,2014-01-01 19:00:00
"PDX",2014,1,1,20,42.08,33.08,70.2,NA,3.45234,3.9728838252,0,1027.4,0.5,2014-01-01 20:00:00
"PDX",2014,1,1,21,42.08,33.08,70.2,300,3.45234,3.9728838252,0,NA,0.5,2014-01-01 21:00:00
"PDX",2014,1,1,22,39.92,39.02,96.55,240,3.45234,3.9728838252,0,NA,0.25,2014-01-01 22:00:00
"PDX",2014,1,1,23,41,39.92,95.9,310,4.60312,5.2971784336,0,NA,1,2014-01-01 23:00:00
"PDX",2014,1,2,0,42.08,39.92,91.98,340,3.45234,3.9728838252,0,NA,7,2014-01-02 00:00:00
"PDX",2014,1,2,1,42.08,39.92,91.98,0,0,0,0,NA,7,2014-01-02 01:00:00
"PDX",2014,1,2,2,41,39.92,95.9,0,0,0,0,1025.9,6,2014-01-02 02:00:00
"PDX",2014,1,2,3,39.92,39.02,96.55,0,0,0,0,NA,5,2014-01-02 03:00:00
"PDX",2014,1,2,4,39.92,39.02,96.55,0,0,0,0,NA,0.25,2014-01-02 04:00:00
"PDX",2014,1,2,5,35.06,35.06,100,120,3.45234,3.9728838252,0,NA,0.25,2014-01-02 05:00:00
"PDX",2014,1,2,6,35.96,35.06,96.49,70,3.45234,3.9728838252,0,NA,0.25,2014-01-02 06:00:00
"PDX",2014,1,2,7,35.06,33.98,95.79,0,0,0,0,NA,0.25,2014-01-02 07:00:00
"PDX",2014,1,2,8,33.98,33.98,100,310,3.45234,3.9728838252,0,NA,0.25,2014-01-02 08:00:00
"PDX",2014,1,2,9,35.96,35.96,100,0,0,0,0,NA,0.25,2014-01-02 09:00:00
"PDX",2014,1,2,10,35.96,35.96,100,80,3.45234,3.9728838252,0,NA,0.5,2014-01-02 10:00:00
"PDX",2014,1,2,11,35.06,35.06,100,0,0,0,0,NA,0.25,2014-01-02 11:00:00
"PDX",2014,1,2,12,35.06,35.06,100,0,0,0,0,NA,1,2014-01-02 12:00:00
"PDX",2014,1,2,13,37.04,37.04,100,100,3.45234,3.9728838252,0,1024.2,1,2014-01-02 13:00:00
"PDX",2014,1,2,14,37.94,37.04,96.52,0,0,0,0,NA,0.5,2014-01-02 14:00:00
"PDX",2014,1,2,15,37.94,37.04,96.52,150,4.60312,5.2971784336,0,NA,0.5,2014-01-02 15:00:00
"PDX",2014,1,2,16,39.02,37.94,95.86,0,0,0,0,1023.9,1.5,2014-01-02 16:00:00
"PDX",2014,1,2,17,39.02,37.94,95.86,230,3.45234,3.9728838252,0,NA,2,2014-01-02 17:00:00
"PDX",2014,1,2,18,39.02,39.02,100,200,4.60312,5.2971784336,0,NA,0.5,2014-01-02 18:00:00
"PDX",2014,1,2,19,41,39.02,92.59,150,3.45234,3.9728838252,0,NA,2,2014-01-02 19:00:00
"PDX",2014,1,2,20,46.94,39.92,76.43,NA,6.90468,7.9457676504,0,1021.2,10,2014-01-02 20:00:00
"PDX",2014,1,2,21,46.04,37.94,73.18,180,8.05546,9.2700622588,0,1020.4,10,2014-01-02 21:00:00
"PDX",2014,1,2,22,44.96,39.02,79.54,180,6.90468,7.9457676504,0,1019.7,10,2014-01-02 22:00:00
"PDX",2014,1,2,23,44.06,37.94,78.91,190,8.05546,9.2700622588,0,1019.4,10,2014-01-02 23:00:00
"PDX",2014,1,3,0,42.08,37.94,85.13,160,9.20624,10.5943568672,0,1019.3,10,2014-01-03 00:00:00
"PDX",2014,1,3,1,42.08,37.94,85.13,140,8.05546,9.2700622588,0,1018.9,10,2014-01-03 01:00:00
"PDX",2014,1,3,2,42.08,39.02,88.81,140,5.7539,6.621473042,0,1018.6,10,2014-01-03 02:00:00
"PDX",2014,1,3,3,42.98,39.02,85.79,160,4.60312,5.2971784336,0,1018,10,2014-01-03 03:00:00
"PDX",2014,1,3,4,44.06,39.92,85.25,170,9.20624,10.5943568672,0,1017.8,10,2014-01-03 04:00:00
"PDX",2014,1,3,5,44.06,39.92,85.25,100,4.60312,5.2971784336,0,1017.7,10,2014-01-03 05:00:00
"PDX",2014,1,3,6,42.98,41,92.65,100,4.60312,5.2971784336,0.04,1018.2,3,2014-01-03 06:00:00
"PDX",2014,1,3,7,42.98,42.08,96.6,0,0,0,0.05,NA,4,2014-01-03 07:00:00
"PDX",2014,1,3,8,42.8,41,93.3,260,4.60312,5.2971784336,0,NA,4,2014-01-03 08:00:00
"PDX",2014,1,3,9,42.08,41,95.92,70,3.45234,3.9728838252,0.01,1020.5,5,2014-01-03 09:00:00
"PDX",2014,1,3,10,42.98,42.08,96.6,0,0,0,0,NA,4,2014-01-03 10:00:00
"PDX",2014,1,3,11,42.98,42.08,96.6,50,3.45234,3.9728838252,0,NA,6,2014-01-03 11:00:00
"PDX",2014,1,3,12,39.02,39.02,100,290,4.60312,5.2971784336,0,NA,0.5,2014-01-03 12:00:00
"PDX",2014,1,3,13,39.02,37.94,95.86,280,3.45234,3.9728838252,0,NA,0.25,2014-01-03 13:00:00
"PDX",2014,1,3,14,35.06,35.06,100,270,5.7539,6.621473042,0,NA,0.12,2014-01-03 14:00:00
"PDX",2014,1,3,15,33.98,33.98,100,0,0,0,0,NA,7,2014-01-03 15:00:00
"PDX",2014,1,3,16,33.08,33.08,100,0,0,0,0,NA,7,2014-01-03 16:00:00
"PDX",2014,1,3,17,37.94,37.04,96.52,0,0,0,0,NA,6,2014-01-03 17:00:00
"PDX",2014,1,3,18,42.98,39.02,85.79,110,3.45234,3.9728838252,0,1025.1,7,2014-01-03 18:00:00
"PDX",2014,1,3,19,44.06,37.94,78.91,0,0,0,0,1024.8,10,2014-01-03 19:00:00
"PDX",2014,1,3,20,44.96,35.96,70.52,0,0,0,0,1024.6,10,2014-01-03 20:00:00
"PDX",2014,1,3,21,46.04,35.96,67.69,0,0,0,0,1024.4,10,2014-01-03 21:00:00
"PDX",2014,1,3,22,46.94,35.96,65.43,260,3.45234,3.9728838252,0,1024.3,10,2014-01-03 22:00:00
"PDX",2014,1,3,23,46.04,35.96,67.69,260,4.60312,5.2971784336,0,1024.3,10,2014-01-03 23:00:00
"PDX",2014,1,4,0,44.06,35.96,72.98,0,0,0,0,1024.7,10,2014-01-04 00:00:00
"PDX",2014,1,4,1,39.92,35.96,85.61,60,3.45234,3.9728838252,0,1025,10,2014-01-04 01:00:00
"PDX",2014,1,4,2,37.94,35.06,89.25,0,0,0,0,1025.6,10,2014-01-04 02:00:00
"PDX",2014,1,4,3,37.04,35.06,92.46,0,0,0,0,NA,10,2014-01-04 03:00:00
"PDX",2014,1,4,4,33.98,33.08,96.46,270,4.60312,5.2971784336,0,NA,10,2014-01-04 04:00:00
"PDX",2014,1,4,5,33.98,33.08,96.46,60,3.45234,3.9728838252,0,1026.6,10,2014-01-04 05:00:00
"PDX",2014,1,4,6,30.92,30.02,96.41,260,4.60312,5.2971784336,0,1027,7,2014-01-04 06:00:00
"PDX",2014,1,4,7,33.08,33.08,100,330,3.45234,3.9728838252,0,1027.4,6,2014-01-04 07:00:00
"PDX",2014,1,4,8,32,30.92,95.73,0,0,0,0,NA,6,2014-01-04 08:00:00
"PDX",2014,1,4,9,32,32,100,0,0,0,0,NA,0.5,2014-01-04 09:00:00
"PDX",2014,1,4,10,33.08,33.08,100,280,4.60312,5.2971784336,0,NA,0.75,2014-01-04 10:00:00
"PDX",2014,1,4,11,33.08,33.08,100,290,3.45234,3.9728838252,0,NA,0.25,2014-01-04 11:00:00
"PDX",2014,1,4,12,33.08,32,95.75,290,3.45234,3.9728838252,0,NA,0.75,2014-01-04 12:00:00
"PDX",2014,1,4,13,33.08,32,95.75,260,3.45234,3.9728838252,0,NA,3,2014-01-04 13:00:00
"PDX",2014,1,4,14,33.98,33.08,96.46,340,4.60312,5.2971784336,0,NA,7,2014-01-04 14:00:00
"PDX",2014,1,4,15,32,30.92,95.73,60,4.60312,5.2971784336,0,1029.8,6,2014-01-04 15:00:00
"PDX",2014,1,4,16,32,30.92,95.73,0,0,0,0,1030.3,10,2014-01-04 16:00:00
"PDX",2014,1,4,17,33.08,30.92,91.66,280,5.7539,6.621473042,0,NA,1,2014-01-04 17:00:00
"PDX",2014,1,4,18,33.08,30.92,91.66,300,5.7539,6.621473042,0,NA,2,2014-01-04 18:00:00
"PDX",2014,1,4,19,33.98,30.92,88.42,350,4.60312,5.2971784336,0,1030.6,2.5,2014-01-04 19:00:00
"PDX",2014,1,4,20,35.6,30.2,80.51,NA,3.45234,3.9728838252,0,NA,10,2014-01-04 20:00:00
"PDX",2014,1,4,21,39.92,32,73.08,0,0,0,0,1029.4,10,2014-01-04 21:00:00
"PDX",2014,1,4,22,41,32,70.08,270,4.60312,5.2971784336,0,1029.1,10,2014-01-04 22:00:00
"PDX",2014,1,4,23,41,33.98,75.88,280,5.7539,6.621473042,0,1028.9,10,2014-01-04 23:00:00
"PDX",2014,1,5,0,39.02,33.98,81.95,300,3.45234,3.9728838252,0,1028.7,10,2014-01-05 00:00:00
"PDX",2014,1,5,1,35.96,33.08,89.16,0,0,0,0,1028.8,10,2014-01-05 01:00:00
"PDX",2014,1,5,2,35.06,32,88.47,0,0,0,0,1029,10,2014-01-05 02:00:00
"PDX",2014,1,5,3,32,30.02,92.29,0,0,0,0,1029.5,9,2014-01-05 03:00:00
"PDX",2014,1,5,4,30.02,28.94,95.69,260,4.60312,5.2971784336,0,1029.6,6,2014-01-05 04:00:00
"PDX",2014,1,5,5,30.02,28.94,95.69,260,3.45234,3.9728838252,0,1029.9,5,2014-01-05 05:00:00
"PDX",2014,1,5,6,30.02,30.02,100,0,0,0,0,1030,4,2014-01-05 06:00:00
"PDX",2014,1,5,7,28.04,28.04,100,0,0,0,0,1029.9,4,2014-01-05 07:00:00
"PDX",2014,1,5,8,28.04,26.96,95.65,0,0,0,0,1030,4,2014-01-05 08:00:00
"PDX",2014,1,5,9,26.96,26.06,96.35,240,3.45234,3.9728838252,0,1030.5,3,2014-01-05 09:00:00
"PDX",2014,1,5,10,26.06,24.98,95.61,250,3.45234,3.9728838252,0,NA,3,2014-01-05 10:00:00
"PDX",2014,1,5,11,28.04,28.04,100,0,0,0,0,NA,0.25,2014-01-05 11:00:00
"PDX",2014,1,5,12,26.06,24.98,95.61,0,0,0,0,NA,0.25,2014-01-05 12:00:00
"PDX",2014,1,5,13,26.96,26.96,100,0,0,0,0,NA,0.25,2014-01-05 13:00:00
"PDX",2014,1,5,14,26.96,26.96,100,0,0,0,0,1030.5,0.12,2014-01-05 14:00:00
"PDX",2014,1,5,15,28.04,26.96,95.65,0,0,0,0,1030.7,0.12,2014-01-05 15:00:00
"PDX",2014,1,5,16,30.02,28.94,95.69,0,0,0,0,1031.4,0.12,2014-01-05 16:00:00
"PDX",2014,1,5,17,30.92,28.94,92.26,270,3.45234,3.9728838252,0,NA,0.25,2014-01-05 17:00:00
"PDX",2014,1,5,18,32,30.02,92.29,260,5.7539,6.621473042,0,NA,0.5,2014-01-05 18:00:00
"PDX",2014,1,5,19,37.04,33.08,85.43,280,8.05546,9.2700622588,0,1030.6,10,2014-01-05 19:00:00
"PDX",2014,1,5,20,41,33.08,73.19,270,6.90468,7.9457676504,0,1029.4,10,2014-01-05 20:00:00
"PDX",2014,1,5,21,44.96,32,60.2,300,4.60312,5.2971784336,0,1028.7,10,2014-01-05 21:00:00
"PDX",2014,1,5,22,46.04,33.98,62.56,300,6.90468,7.9457676504,0,1028.4,10,2014-01-05 22:00:00
"PDX",2014,1,5,23,46.04,32,57.78,0,0,0,0,1027.7,10,2014-01-05 23:00:00
"PDX",2014,1,6,0,46.04,21.92,38.12,100,13.80936,15.8915353008,0,1026.9,10,2014-01-06 00:00:00
"PDX",2014,1,6,1,44.96,21.02,38.23,90,10.35702,11.9186514756,0,1026.5,10,2014-01-06 01:00:00
"PDX",2014,1,6,2,44.96,21.02,38.23,100,10.35702,11.9186514756,0,1026.3,10,2014-01-06 02:00:00
"PDX",2014,1,6,3,44.06,21.02,39.57,110,11.5078,13.242946084,0,1025.9,10,2014-01-06 03:00:00
"PDX",2014,1,6,4,42.08,21.92,44.34,120,12.65858,14.5672406924,0,1026,10,2014-01-06 04:00:00
"PDX",2014,1,6,5,41,21.92,46.23,120,11.5078,13.242946084,0,1025.6,10,2014-01-06 05:00:00
"PDX",2014,1,6,6,41,21.92,46.23,120,10.35702,11.9186514756,0,1025.7,10,2014-01-06 06:00:00
"PDX",2014,1,6,7,35.06,26.96,72.03,290,4.60312,5.2971784336,0,1025.6,10,2014-01-06 07:00:00
"PDX",2014,1,6,8,35.06,28.94,78.13,0,0,0,0,1025,10,2014-01-06 08:00:00
"PDX",2014,1,6,9,35.06,26.96,72.03,320,3.45234,3.9728838252,0,1024.7,10,2014-01-06 09:00:00
"PDX",2014,1,6,10,30.02,26.06,85,0,0,0,0,1025,10,2014-01-06 10:00:00
"PDX",2014,1,6,11,32,28.04,85.12,0,0,0,0,1024.8,10,2014-01-06 11:00:00
"PDX",2014,1,6,12,30.02,26.96,88.22,0,0,0,0,1024.6,10,2014-01-06 12:00:00
"PDX",2014,1,6,13,33.98,30.02,85.24,290,4.60312,5.2971784336,0,1024.3,10,2014-01-06 13:00:00
"PDX",2014,1,6,14,33.98,28.94,81.57,300,3.45234,3.9728838252,0,1024.6,10,2014-01-06 14:00:00
"PDX",2014,1,6,15,35.96,26.96,69.51,100,4.60312,5.2971784336,0,1024.7,10,2014-01-06 15:00:00
"PDX",2014,1,6,16,35.96,26.96,69.51,80,4.60312,5.2971784336,0,1025.1,10,2014-01-06 16:00:00
"PDX",2014,1,6,17,41,24.98,52.56,110,12.65858,14.5672406924,0,1024.6,10,2014-01-06 17:00:00
"PDX",2014,1,6,18,42.08,24.98,50.42,130,12.65858,14.5672406924,0,1025.3,10,2014-01-06 18:00:00
"PDX",2014,1,6,19,42.98,24.08,46.91,110,16.11092,18.5401245176,0,1024.1,10,2014-01-06 19:00:00
"PDX",2014,1,6,20,44.06,23,43.02,130,14.96014,17.2158299092,0,1023.4,10,2014-01-06 20:00:00
"PDX",2014,1,6,21,44.06,21.92,41.1,130,10.35702,11.9186514756,0,1022.6,10,2014-01-06 21:00:00
"PDX",2014,1,6,22,44.06,21.92,41.1,120,16.11092,18.5401245176,0,1022.4,10,2014-01-06 22:00:00
"PDX",2014,1,6,23,44.06,21.92,41.1,120,14.96014,17.2158299092,0,1022.3,10,2014-01-06 23:00:00
"PDX",2014,1,7,0,42.98,21.92,42.84,120,10.35702,11.9186514756,0,1022.7,10,2014-01-07 00:00:00
"PDX",2014,1,7,1,42.08,24.98,50.42,110,11.5078,13.242946084,0,1022.4,10,2014-01-07 01:00:00
"PDX",2014,1,7,2,42.08,23,46.41,120,13.80936,15.8915353008,0,1022.8,10,2014-01-07 02:00:00
"PDX",2014,1,7,3,39.92,26.96,59.5,110,8.05546,9.2700622588,0,1022.5,10,2014-01-07 03:00:00
"PDX",2014,1,7,4,39.92,26.96,59.5,120,6.90468,7.9457676504,0,1023.1,10,2014-01-07 04:00:00
"PDX",2014,1,7,5,41,26.06,54.97,110,10.35702,11.9186514756,0,1023.2,10,2014-01-07 05:00:00
"PDX",2014,1,7,6,39.02,30.92,72.46,110,8.05546,9.2700622588,0.01,1023.3,10,2014-01-07 06:00:00
"PDX",2014,1,7,7,37.94,30.92,75.58,110,10.35702,11.9186514756,0,1023,10,2014-01-07 07:00:00
"PDX",2014,1,7,8,37.94,30.92,75.58,120,10.35702,11.9186514756,0,NA,10,2014-01-07 08:00:00
"PDX",2014,1,7,9,37.04,32,81.8,100,6.90468,7.9457676504,0,1022,10,2014-01-07 09:00:00
"PDX",2014,1,7,10,37.04,30.92,78.31,110,5.7539,6.621473042,0,NA,10,2014-01-07 10:00:00
"PDX",2014,1,7,11,37.94,32,78.96,130,4.60312,5.2971784336,0,NA,10,2014-01-07 11:00:00
"PDX",2014,1,7,12,37.04,33.98,88.57,110,6.90468,7.9457676504,0,1021.1,10,2014-01-07 12:00:00
"PDX",2014,1,7,13,37.94,33.08,82.46,100,8.05546,9.2700622588,0,1020.5,10,2014-01-07 13:00:00
"PDX",2014,1,7,14,37.94,33.98,85.49,110,6.90468,7.9457676504,0,NA,10,2014-01-07 14:00:00
"PDX",2014,1,7,15,37.94,33.98,85.49,90,3.45234,3.9728838252,0,1019.4,10,2014-01-07 15:00:00
"PDX",2014,1,7,16,39.02,35.96,88.66,110,6.90468,7.9457676504,0,1019.5,10,2014-01-07 16:00:00
"PDX",2014,1,7,17,39.92,35.06,82.6,90,4.60312,5.2971784336,0,1019.2,10,2014-01-07 17:00:00
"PDX",2014,1,7,18,42.08,33.98,72.78,110,10.35702,11.9186514756,0,1019.1,10,2014-01-07 18:00:00
"PDX",2014,1,7,19,42.98,33.98,70.3,90,11.5078,13.242946084,0,1018.5,10,2014-01-07 19:00:00
"PDX",2014,1,7,20,42.08,35.96,78.74,100,4.60312,5.2971784336,0.01,1018.3,10,2014-01-07 20:00:00
"PDX",2014,1,7,21,39.92,35.96,85.61,110,4.60312,5.2971784336,0.08,1018.8,5,2014-01-07 21:00:00
"PDX",2014,1,7,22,39.02,37.04,92.53,110,19.56326,22.5130083428,0.05,1017.4,6,2014-01-07 22:00:00
"PDX",2014,1,7,23,41,41,100,140,10.35702,11.9186514756,0.01,1018.2,10,2014-01-07 23:00:00
"PDX",2014,1,8,0,41,37.94,88.76,130,9.20624,10.5943568672,0,1018.1,10,2014-01-08 00:00:00
"PDX",2014,1,8,1,41,37.94,88.76,130,9.20624,10.5943568672,0,NA,10,2014-01-08 01:00:00
"PDX",2014,1,8,2,41,39.92,95.9,110,8.05546,9.2700622588,0,NA,10,2014-01-08 02:00:00
"PDX",2014,1,8,3,39.02,39.02,100,110,10.35702,11.9186514756,0.07,1018.2,5,2014-01-08 03:00:00
"PDX",2014,1,8,4,39.02,39.02,100,110,11.5078,13.242946084,0.05,1018.5,6,2014-01-08 04:00:00
"PDX",2014,1,8,5,39.92,39.92,100,110,12.65858,14.5672406924,0.01,1018.9,7,2014-01-08 05:00:00
"PDX",2014,1,8,6,39.02,39.02,100,120,11.5078,13.242946084,0,1018.9,5,2014-01-08 06:00:00
"PDX",2014,1,8,7,39.02,39.02,100,110,11.5078,13.242946084,0.05,1018.6,5,2014-01-08 07:00:00
"PDX",2014,1,8,8,39.02,39.02,100,110,10.35702,11.9186514756,0.01,1018.3,5,2014-01-08 08:00:00
"PDX",2014,1,8,9,39.02,39.02,100,120,9.20624,10.5943568672,0.01,1018.1,5,2014-01-08 09:00:00
"PDX",2014,1,8,10,39.92,39.92,100,110,10.35702,11.9186514756,0,1018.4,5,2014-01-08 10:00:00
"PDX",2014,1,8,11,39.92,39.92,100,110,13.80936,15.8915353008,0,1018.1,7,2014-01-08 11:00:00
"PDX",2014,1,8,12,39.92,39.92,100,110,12.65858,14.5672406924,0,1018,8,2014-01-08 12:00:00
"PDX",2014,1,8,13,39.92,39.02,96.55,100,12.65858,14.5672406924,0,1017.5,6,2014-01-08 13:00:00
"PDX",2014,1,8,14,41,39.02,92.59,100,13.80936,15.8915353008,0,1016.9,7,2014-01-08 14:00:00
"PDX",2014,1,8,15,39.92,39.02,96.55,110,11.5078,13.242946084,0,1016.1,7,2014-01-08 15:00:00
"PDX",2014,1,8,16,39.92,39.02,96.55,100,14.96014,17.2158299092,0,1016.1,9,2014-01-08 16:00:00
"PDX",2014,1,8,17,39.92,39.02,96.55,100,12.65858,14.5672406924,0,NA,9,2014-01-08 17:00:00
"PDX",2014,1,8,18,42.08,39.92,91.98,110,11.5078,13.242946084,0,NA,7,2014-01-08 18:00:00
"PDX",2014,1,8,19,44.06,41,88.9,100,14.96014,17.2158299092,0,1013.6,8,2014-01-08 19:00:00
"PDX",2014,1,8,20,53.06,46.94,79.64,180,14.96014,17.2158299092,0,NA,10,2014-01-08 20:00:00
"PDX",2014,1,8,21,51.98,48.02,86.3,180,14.96014,17.2158299092,0.02,1010.5,8,2014-01-08 21:00:00
"PDX",2014,1,8,22,51.98,48.02,86.3,170,14.96014,17.2158299092,0.02,NA,10,2014-01-08 22:00:00
"PDX",2014,1,8,23,51.08,46.94,85.67,200,13.80936,15.8915353008,0.16,1010.2,10,2014-01-08 23:00:00
"PDX",2014,1,9,0,50,44.06,79.94,190,10.35702,11.9186514756,0.01,1010.5,10,2014-01-09 00:00:00
"PDX",2014,1,9,1,50,44.96,82.73,150,10.35702,11.9186514756,0,1010.9,10,2014-01-09 01:00:00
"PDX",2014,1,9,2,48.92,44.96,86.13,140,8.05546,9.2700622588,0,NA,10,2014-01-09 02:00:00
"PDX",2014,1,9,3,48.02,44.06,86.08,230,9.20624,10.5943568672,0.04,1010.9,10,2014-01-09 03:00:00
"PDX",2014,1,9,4,48.02,42.98,82.59,250,12.65858,14.5672406924,0.01,1012.2,10,2014-01-09 04:00:00
"PDX",2014,1,9,5,46.04,42.08,85.97,0,0,0,0,1013.3,10,2014-01-09 05:00:00
"PDX",2014,1,9,6,46.94,42.08,83.09,230,10.35702,11.9186514756,0,1014.6,10,2014-01-09 06:00:00
"PDX",2014,1,9,7,46.04,42.08,85.97,240,11.5078,13.242946084,0,1015.7,10,2014-01-09 07:00:00
"PDX",2014,1,9,8,44.96,39.92,82.38,240,9.20624,10.5943568672,0,1016.7,10,2014-01-09 08:00:00
"PDX",2014,1,9,9,42.08,37.94,85.13,200,8.05546,9.2700622588,0,1017.2,10,2014-01-09 09:00:00
"PDX",2014,1,9,10,42.98,39.92,88.85,0,0,0,0,1018.3,10,2014-01-09 10:00:00
"PDX",2014,1,9,11,42.08,39.92,91.98,10,3.45234,3.9728838252,0,1019.1,10,2014-01-09 11:00:00
"PDX",2014,1,9,12,41,39.02,92.59,0,0,0,0,1018.5,10,2014-01-09 12:00:00
"PDX",2014,1,9,13,42.08,39.02,88.81,0,0,0,0,1018.5,10,2014-01-09 13:00:00
"PDX",2014,1,9,14,44.06,39.02,82.31,0,0,0,0,1019.2,10,2014-01-09 14:00:00
"PDX",2014,1,9,15,44.06,39.92,85.25,190,8.05546,9.2700622588,0,1018.8,10,2014-01-09 15:00:00
"PDX",2014,1,9,16,44.96,41,85.9,180,9.20624,10.5943568672,0,1019.2,10,2014-01-09 16:00:00
"PDX",2014,1,9,17,44.96,41,85.9,190,8.05546,9.2700622588,0,1019,10,2014-01-09 17:00:00
"PDX",2014,1,9,18,46.04,42.08,85.97,190,12.65858,14.5672406924,0,1018.6,10,2014-01-09 18:00:00
"PDX",2014,1,9,19,46.04,42.08,85.97,190,12.65858,14.5672406924,0.01,1017.6,10,2014-01-09 19:00:00
"PDX",2014,1,9,20,46.94,42.08,83.09,170,11.5078,13.242946084,0,NA,10,2014-01-09 20:00:00
"PDX",2014,1,9,21,46.04,42.98,88.99,160,12.65858,14.5672406924,0.01,1014.8,4,2014-01-09 21:00:00
"PDX",2014,1,9,22,46.04,42.98,88.99,160,13.80936,15.8915353008,0.02,NA,2,2014-01-09 22:00:00
"PDX",2014,1,9,23,46.04,42.98,88.99,170,12.65858,14.5672406924,0.01,NA,2,2014-01-09 23:00:00
"PDX",2014,1,10,0,46.04,42.98,88.99,190,17.2617,19.864419126,0,NA,2,2014-01-10 00:00:00
"PDX",2014,1,10,1,46.04,42.98,88.99,190,16.11092,18.5401245176,0,NA,7,2014-01-10 01:00:00
"PDX",2014,1,10,2,46.94,44.06,89.65,190,20.71404,23.8373029512,0,NA,2,2014-01-10 02:00:00
"PDX",2014,1,10,3,48.02,44.96,89.08,190,16.11092,18.5401245176,0,1014,10,2014-01-10 03:00:00
"PDX",2014,1,10,4,48.92,44.96,86.13,210,16.11092,18.5401245176,0,1015.2,10,2014-01-10 04:00:00
"PDX",2014,1,10,5,48.92,46.04,89.73,200,14.96014,17.2158299092,0.01,1016.2,6,2014-01-10 05:00:00
"PDX",2014,1,10,6,50,44.96,82.73,210,17.2617,19.864419126,0.01,1017.2,10,2014-01-10 06:00:00
"PDX",2014,1,10,7,50,42.98,76.71,200,13.80936,15.8915353008,0,1017.7,10,2014-01-10 07:00:00
"PDX",2014,1,10,8,50,42.98,76.71,210,18.41248,21.1887137344,0,1018.5,9,2014-01-10 08:00:00
"PDX",2014,1,10,9,50,42.98,76.71,200,14.96014,17.2158299092,0,1019,9,2014-01-10 09:00:00
"PDX",2014,1,10,10,50,42.98,76.71,200,17.2617,19.864419126,0,1020.3,10,2014-01-10 10:00:00
"PDX",2014,1,10,11,50,42.98,76.71,200,16.11092,18.5401245176,0,1020.6,9,2014-01-10 11:00:00
"PDX",2014,1,10,12,50,42.98,76.71,210,12.65858,14.5672406924,0,1021.1,10,2014-01-10 12:00:00
"PDX",2014,1,10,13,48.92,42.98,79.86,190,13.80936,15.8915353008,0,1021.3,9,2014-01-10 13:00:00
"PDX",2014,1,10,14,48.92,42.98,79.86,200,12.65858,14.5672406924,0,1021.5,9,2014-01-10 14:00:00
"PDX",2014,1,10,15,48.92,42.98,79.86,200,6.90468,7.9457676504,0,1021.4,7,2014-01-10 15:00:00
"PDX",2014,1,10,16,48.92,44.06,83.23,0,0,0,0,1022,9,2014-01-10 16:00:00
"PDX",2014,1,10,17,48.92,42.98,79.86,210,14.96014,17.2158299092,0,1021.8,7,2014-01-10 17:00:00
